7.38,0.83,6.98,0.97
0.01,-0.48,0.30,-0.60
6.62,-0.66,6.86,-0.74
-0.03,-0.69,-0.50,-0.53
20.21,-0.34,20.45,-0.47
5.34,-0.31,4.60,0.77
9.23,0.27,10.27,-0.85
-1.24,0.65,-1.28,0.66
2.25,0.29,2.03,0.44
2.17,-0.18,2.33,-0.30
6.32,0.60,6.63,0.51
1.69,0.11,2.88,-0.88
2.88,-0.88,3.06,-0.94
1.19,0.11,0.34,0.96
-0.56,-0.75,-0.95,-0.64
5.28,0.59,4.80,0.78
17.35,-0.59,17.01,-0.40
5.99,0.57,6.88,-0.86
8.20,0.18,7.52,0.97
5.27,-0.34,5.20,-0.28
8.75,0.39,8.92,0.23
19.04,0.44,19.86,-0.94
4.89,-0.73,4.79,-0.70
3.45,-0.90,3.25,-0.88
3.54,-0.25,3.45,-0.17
3.31,-0.79,3.86,-0.93
2.96,-0.22,2.89,-0.11
14.60,0.42,14.74,0.30
2.40,-0.01,2.08,0.79
2.86,0.29,1.85,0.71
2.09,0.79,2.62,0.56
15.00,-0.18,15.93,-0.69
0.51,-0.46,0.36,-0.34
9.98,0.43,10.13,0.33
0.71,-0.49,0.46,-0.31
4.70,0.46,4.83,0.42
13.65,0.50,13.55,0.52
8.14,0.47,7.92,0.60
18.49,0.26,18.58,0.20
17.87,-0.69,19.08,-0.66
21.46,0.99,21.27,0.89
8.14,0.47,7.96,0.52
0.91,-0.97,1.21,-0.79
-0.38,0.78,-0.25,0.72
0.07,-0.36,0.78,-0.73
-0.04,-0.52,-0.06,-0.87
-0.07,-0.87,-0.11,-0.86
0.73,0.79,1.03,0.74
0.37,-0.58,1.01,-0.80
0.73,0.79,1.09,0.71
1.01,-0.80,0.74,-0.73
1.04,-0.41,0.92,-0.37
-0.78,-0.27,-0.53,-0.45
3.80,-0.14,4.10,-0.95
5.58,0.33,5.64,0.27
9.58,0.94,9.35,0.72
13.82,0.21,14.47,-0.99
21.35,0.25,21.45,0.16
23.15,-0.75,23.30,-0.82
17.19,-0.15,16.37,0.87
10.27,-0.69,9.97,-0.63
21.91,0.34,22.08,0.18
12.96,0.34,12.14,0.72
22.42,0.16,23.31,-0.76
22.62,-0.29,21.17,0.75
0.35,-0.29,0.49,-0.40
0.17,0.88,0.64,0.70
0.17,0.88,0.05,0.92
0.30,0.75,-0.27,0.94
0.39,0.66,0.59,0.60
0.87,0.60,0.60,0.74
0.87,0.60,0.70,0.67
0.62,-0.20,0.75,-0.29
2.22,0.32,1.98,0.43
1.43,0.80,1.83,0.64
1.73,-0.64,2.24,-0.84
1.19,-0.61,0.95,-0.48
0.31,-0.68,0.37,-0.71
-0.51,-0.64,-0.22,-0.74
1.30,0.04,1.38,-0.20
0.80,0.67,1.01,0.57
-1.19,-0.65,-1.03,-0.69
1.49,0.35,1.66,0.18
-1.00,-0.95,-1.14,-0.92
0.34,-0.80,0.72,-0.92
2.65,-0.93,2.13,-0.75
0.39,0.78,0.72,0.64
10.01,0.62,9.89,0.63
2.66,0.07,2.70,-0.13
-1.18,0.19,-1.12,0.09
3.70,0.24,3.47,0.43
13.43,0.27,13.09,0.50
1.17,0.27,1.20,0.26
11.60,0.32,11.26,0.53
15.95,0.68,16.10,0.64
9.11,0.48,8.73,0.68
5.80,0.18,5.52,0.42
0.75,0.49,1.00,0.37
2.24,0.20,2.29,0.13
3.25,0.69,2.94,0.82
6.05,0.26,5.95,0.33
4.14,0.21,3.86,0.44
4.66,0.45,4.56,0.48
18.80,0.37,18.94,0.25
8.62,0.59,7.93,0.83
17.34,0.36,17.51,0.25
9.42,0.34,9.30,0.39
3.12,0.33,3.28,0.14
7.07,0.40,7.20,0.29
15.32,0.53,15.53,0.41
18.44,0.51,18.74,0.29
8.92,0.63,9.09,0.58
6.48,0.33,6.26,0.48
14.14,0.57,13.87,0.70
19.05,0.47,18.90,0.57
11.76,0.57,11.99,0.50
9.81,0.54,9.77,0.55
5.94,0.65,6.04,0.59
16.34,0.36,16.05,0.53
20.51,0.16,20.46,0.20
18.10,0.54,18.27,0.48
1.89,0.11,1.90,0.09
0.22,0.24,0.04,0.37
8.60,0.25,8.63,0.23
6.43,0.60,6.66,0.46
5.27,0.73,5.57,0.58
2.76,0.45,3.00,0.32
2.37,0.54,2.03,0.66
2.03,0.66,1.64,0.77
7.83,0.46,7.79,0.48
6.20,0.95,6.26,0.93
5.27,0.73,5.10,0.77
3.07,0.10,3.03,0.17
6.80,0.73,6.38,0.88
7.16,0.17,7.03,0.27
3.64,0.28,3.52,0.35
6.91,0.39,6.52,0.59
6.64,0.66,6.81,0.59
7.28,0.59,7.68,0.35
7.33,0.38,7.09,0.50
5.27,0.66,5.63,0.51
4.04,0.41,4.21,0.28
7.05,0.36,7.16,0.33
5.85,0.39,5.59,0.49
5.24,0.39,5.46,0.27
